Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Pressure(in),Value
82.205,76.76,82.83,7.836666667,29.5,12.8905
82.13,76.9,83.12,8.01,29.5,12.8905
82.055,77.04,83.4,8.183333333,29.5,12.5695
81.98,77.19,83.68,8.356666667,29.51,11.9812
81.905,77.33,83.96,8.53,29.51,12.0347
81.83,77.48,84.24,8.703333333,29.51,11.9812
81.755,77.62,84.53,8.876666667,29.52,11.4463
81.68,77.77,84.81,9.05,29.52,11.7137
81.4125,77.62,84.94,8.635,29.54,11.5533
81.145,77.47,85.08,8.22,29.56,11.6068
80.8775,77.32,85.22,7.805,29.59,11.2324
80.61,77.17,85.35,7.39,29.61,11.3393
80.3425,77.02,85.48,6.975,29.63,11.6603
80.075,76.86,85.62,6.56,29.66,11.1789
79.8075,76.71,85.76,6.145,29.68,11.4998
79.54,76.56,85.89,5.73,29.7,11.3393
79.2725,76.41,86.02,5.315,29.72,11.2324
79.005,76.26,86.16,4.9,29.74,11.2858
78.7375,76.11,86.3,4.485,29.77,11.3928
78.47,75.96,86.43,4.07,29.79,11.1789
78.97916667,75.9,85.71,3.898333333,29.78,11.1254
79.48833333,75.84,84.98,3.726666667,29.77,10.8045
79.9975,75.78,84.26,3.555,29.76,11.1254
80.50666667,75.72,83.53,3.383333333,29.75,10.6975
81.01583333,75.66,82.8,3.211666667,29.74,10.0556
81.525,75.6,82.08,3.04,29.74,10.0021
82.03416667,75.54,81.36,2.868333333,29.73,9.8952
82.54333333,75.48,80.63,2.696666667,29.72,10.9114
83.0525,75.42,79.9,2.525,29.71,10.751
83.56166667,75.36,79.18,2.353333333,29.7,10.6975
84.07083333,75.3,78.46,2.181666667,29.69,11.8742
84.58,75.24,77.73,2.01,29.68,12.516
84.93666667,75.36,76.37,2.175833333,29.64,13.6393
85.29333333,75.48,75.01,2.341666667,29.6,18.5066
85.65,75.6,73.65,2.5075,29.57,24.3368
86.00666667,75.71,72.29,2.673333333,29.53,26.3158
86.36333333,75.83,70.93,2.839166667,29.49,28.9902
86.72,75.95,69.56,3.005,29.46,29.2041
87.07666667,76.07,68.2,3.170833333,29.42,29.739
87.43333333,76.19,66.84,3.336666667,29.38,30.1134
87.79,76.3,65.48,3.5025,29.34,32.7343
88.14666667,76.42,64.12,3.668333333,29.3,31.42385
